Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	Begin Date Time	Annotation
180	Spectrogram 1	1	2308.128626	2309.110343	2221.3	19181.818	0.9817	16960.518	-86.64	Valencia_02_Combined_2017.wav	2308.1286	Whistle
181	Spectrogram 1	1	2321.639983	2321.837059	4954.545	6045.455	0.1971	1090.91	-65.59	Valencia_02_Combined_2017.wav	2321.64	Whistle
182	Spectrogram 1	1	2322.034135	2322.262263	7772.727	11545.455	0.2281	3772.728	-74.07	Valencia_02_Combined_2017.wav	2322.0341	Whistle
183	Spectrogram 1	1	2326.735812	2326.852448	4181.818	6727.273	0.1166	2545.455	-79.59	Valencia_02_Combined_2017.wav	2326.7358	Whistle
184	Spectrogram 1	1	2326.928866	2327.729237	3000	5727.273	0.8004	2727.273	-79	Valencia_02_Combined_2017.wav	2326.9289	Whistle
185	Spectrogram 1	1	2331.944255	2332.169485	5136.364	6863.636	0.2252	1727.272	-74.73	Valencia_02_Combined_2017.wav	2331.9443	Whistle
186	Spectrogram 1	1	2334.486137	2335.173893	3909.091	6989.5	0.6878	3080.409	-76.84	Valencia_02_Combined_2017.wav	2334.4861	Whistle
187	Spectrogram 1	1	2335.749034	2336.139164	5318.182	9590.909	0.3901	4272.727	-79.33	Valencia_02_Combined_2017.wav	2335.749	Whistle
188	Spectrogram 1	1	2337.635335	2339.059111	4136.364	14636.364	1.4238	10500	-78.73	Valencia_02_Combined_2017.wav	2337.6353	Whistle
189	Spectrogram 1	1	2339.232055	2339.348692	11727.273	14090.909	0.1166	2363.636	-73.38	Valencia_02_Combined_2017.wav	2339.2321	Whistle
190	Spectrogram 1	1	2339.513593	2339.742845	7772.727	12136.364	0.2293	4363.637	-67.28	Valencia_02_Combined_2017.wav	2339.5136	Whistle
191	Spectrogram 1	1	2341.054005	2341.255103	6500	9181.818	0.2011	2681.818	-74.67	Valencia_02_Combined_2017.wav	2341.054	Whistle
192	Spectrogram 1	1	2342.168087	2343.016721	4590.909	6590.909	0.8486	2000	-87.38	Valencia_02_Combined_2017.wav	2342.1681	Whistle
193	Spectrogram 1	1	2344.52898	2344.866825	3363.636	12318.182	0.3378	8954.546	-74	Valencia_02_Combined_2017.wav	2344.529	Whistle
194	Spectrogram 1	1	2345.509497	2346.223836	6454.545	19943.1	0.7143	13488.555	-88.64	Valencia_02_Combined_2017.wav	2345.5095	Bout
195	Spectrogram 1	1	2347.478689	2347.691853	6194.8	19772.727	0.2132	13577.927	-80.3	Valencia_02_Combined_2017.wav	2347.4787	Whistle
196	Spectrogram 1	1	2351.271399	2352.107968	3545.455	10406.7	0.8366	6861.245	-90.41	Valencia_02_Combined_2017.wav	2351.2714	Whistle
197	Spectrogram 1	1	2355.410001	2356.668875	3967.347	16227.273	1.2589	12259.926	-71.58	Valencia_02_Combined_2017.wav	2355.41	Bout
198	Spectrogram 1	1	2357.193044	2357.799048	3272.727	21363.636	0.606	18090.909	-68.56	Valencia_02_Combined_2017.wav	2357.193	Whistle
199	Spectrogram 1	1	2361.382166	2362.53647	3318.182	9227.273	1.1543	5909.091	-69.43	Valencia_02_Combined_2017.wav	2361.3822	Bout
200	Spectrogram 1	1	2366.872147	2367.728825	6363.636	10327.2	0.8567	3963.564	-80.06	Valencia_02_Combined_2017.wav	2366.8721	Whistle
201	Spectrogram 1	1	2367.857528	2368.08678	6454.545	8772.727	0.2293	2318.182	-81.04	Valencia_02_Combined_2017.wav	2367.8575	Whistle
202	Spectrogram 1	1	2379.826895	2379.887224	7181.818	10000	0.0603	2818.182	-84.14	Valencia_02_Combined_2017.wav	2379.8269	Whistle
203	Spectrogram 1	1	2382.242084	2384.637164	3090.909	16136.364	2.3951	13045.455	-78.93	Valencia_02_Combined_2017.wav	2382.2421	Whistle
204	Spectrogram 1	1	2386.495312	2386.583795	8363.636	10863.636	0.0885	2500	-66.28	Valencia_02_Combined_2017.wav	2386.4953	Whistle
205	Spectrogram 1	1	2393.186089	2395.124675	4590.909	12318.182	1.9386	7727.273	-87.32	Valencia_02_Combined_2017.wav	2393.1861	Whistle
206	Spectrogram 1	1	2397.115547	2397.26436	1363.636	3090.909	0.1488	1727.273	-75.69	Valencia_02_Combined_2017.wav	2397.1155	Whistle
207	Spectrogram 1	1	2397.553941	2397.690688	8681.818	10500	0.1367	1818.182	-75.65	Valencia_02_Combined_2017.wav	2397.5539	Whistle
208	Spectrogram 1	1	2397.746996	2397.859611	5272.727	8818.182	0.1126	3545.455	-70.27	Valencia_02_Combined_2017.wav	2397.747	Whistle
209	Spectrogram 1	1	2398.662667	2399.102398	5479.5	8681.818	0.4397	3202.318	-92.24	Valencia_02_Combined_2017.wav	2398.6627	Whistle
210	Spectrogram 1	1	2406.088547	2407.327312	5272.727	12734.694	1.2388	7461.967	-84.4	Valencia_02_Combined_2017.wav	2406.0885	Whistle
211	Spectrogram 1	1	2412.33868	2412.58402	4090.909	6909.091	0.2453	2818.182	-74.84	Valencia_02_Combined_2017.wav	2412.3387	Whistle
212	Spectrogram 1	1	2416.758819	2416.927742	4000	7909.091	0.1689	3909.091	-82.74	Valencia_02_Combined_2017.wav	2416.7588	Whistle
213	Spectrogram 1	1	2420.05683	2421.134716	3954.545	19909.091	1.0779	15954.546	-68.68	Valencia_02_Combined_2017.wav	2420.0568	Whistle
214	Spectrogram 1	1	2423.039914	2423.981053	3731.2	21409.091	0.9411	17677.891	-61.57	Valencia_02_Combined_2017.wav	2423.0399	Whistle
215	Spectrogram 1	1	2427.153337	2427.497228	6681.818	15909.091	0.3439	9227.273	-85.27	Valencia_02_Combined_2017.wav	2427.1533	Whistle
216	Spectrogram 1	1	2427.780763	2428.022081	4500	16049.1	0.2413	11549.1	-90.54	Valencia_02_Combined_2017.wav	2427.7808	Whistle
217	Spectrogram 1	1	2429.773024	2432.192186	3016	15590.909	2.4192	12574.909	-84.45	Valencia_02_Combined_2017.wav	2429.773	Whistle
218	Spectrogram 1	1	2432.801726	2436.021961	2777.5	12181.818	3.2202	9404.318	-80.61	Valencia_02_Combined_2017.wav	2432.8017	Bout
219	Spectrogram 1	1	2436.160067	2436.554219	2590.909	11757.7	0.3942	9166.791	-81.4	Valencia_02_Combined_2017.wav	2436.1601	Whistle
220	Spectrogram 1	1	2437.923795	2439.870426	3045.455	15363.636	1.9466	12318.181	-78.16	Valencia_02_Combined_2017.wav	2437.9238	Whistle
221	Spectrogram 1	1	2440.280666	2440.598402	7500	11042.4	0.3177	3542.4	-77.36	Valencia_02_Combined_2017.wav	2440.2807	Whistle
222	Spectrogram 1	1	2441.124759	2442.872431	3731.2	20261	1.7477	16529.8	-77.5	Valencia_02_Combined_2017.wav	2441.1248	Whistle
223	Spectrogram 1	1	2445.014438	2447.037486	3500	20045.455	2.023	16545.455	-70.34	Valencia_02_Combined_2017.wav	2445.0144	Whistle
224	Spectrogram 1	1	2447.613479	2448.816046	2454.545	12681.818	1.2026	10227.273	-67.68	Valencia_02_Combined_2017.wav	2447.6135	Whistle
225	Spectrogram 1	1	2450.644213	2453.025216	5454.545	11636.364	2.381	6181.819	-76.44	Valencia_02_Combined_2017.wav	2450.6442	Whistle
226	Spectrogram 1	1	2457.916437	2458.318633	5454.545	22409.091	0.4022	16954.546	-57.57	Valencia_02_Combined_2017.wav	2457.9164	Whistle
227	Spectrogram 1	1	2485.482979	2486.085179	3722.449	6636.364	0.6022	2913.915	-89.66	Valencia_02_Combined_2017.wav	2485.483	Whistle
228	Spectrogram 1	1	2496.792743	2497.432235	6909.091	16923.2	0.6395	10014.109	-82.78	Valencia_02_Combined_2017.wav	2496.7927	Whistle
229	Spectrogram 1	1	2503.597907	2503.841234	7818.182	14106.122	0.2433	6287.94	-85.88	Valencia_02_Combined_2017.wav	2503.5979	Whistle
230	Spectrogram 1	1	2504.667749	2505.307242	7363.636	10863.636	0.6395	3500	-82.13	Valencia_02_Combined_2017.wav	2504.6677	Whistle
231	Spectrogram 1	1	2505.573096	2506.177229	7704.7	11121.9	0.6041	3417.2	-86.05	Valencia_02_Combined_2017.wav	2505.5731	Whistle
232	Spectrogram 1	1	2506.288601	2506.63449	5227.273	11636.364	0.3459	6409.091	-87.92	Valencia_02_Combined_2017.wav	2506.2886	Whistle
233	Spectrogram 1	1	2507.754607	2508.898856	5093.878	13812.245	1.1442	8718.367	-77.79	Valencia_02_Combined_2017.wav	2507.7546	Whistle
234	Spectrogram 1	1	2509.550414	2511.098871	5559	21772.727	1.5485	16213.727	-73.74	Valencia_02_Combined_2017.wav	2509.5504	Whistle
235	Spectrogram 1	1	2511.476935	2512.739832	3918.367	22363.636	1.2629	18445.269	-69.41	Valencia_02_Combined_2017.wav	2511.4769	Whistle
236	Spectrogram 1	1	2515.695976	2516.858324	6045.455	21909.091	1.1623	15863.636	-75.88	Valencia_02_Combined_2017.wav	2515.696	Whistle
237	Spectrogram 1	1	2517.650651	2518.559615	3363.636	21363.636	0.909	18000	-67.12	Valencia_02_Combined_2017.wav	2517.6507	Whistle
238	Spectrogram 1	1	2522.979754	2523.888718	3590.909	20102.1	0.909	16511.191	-76.28	Valencia_02_Combined_2017.wav	2522.9798	Whistle
239	Spectrogram 1	1	2526.941389	2527.226948	3909.091	10227.273	0.2856	6318.182	-83.42	Valencia_02_Combined_2017.wav	2526.9414	Whistle
240	Spectrogram 1	1	2528.871932	2529.197711	5590.909	12000	0.3258	6409.091	-85.37	Valencia_02_Combined_2017.wav	2528.8719	Whistle
241	Spectrogram 1	1	2531.011415	2531.361326	8227.273	15045.455	0.3499	6818.182	-86.3	Valencia_02_Combined_2017.wav	2531.0114	Whistle
242	Spectrogram 1	1	2531.395513	2534.076152	3673.469	16163.265	2.6806	12489.796	-76.13	Valencia_02_Combined_2017.wav	2531.3955	Bout
243	Spectrogram 1	1	2534.200833	2534.667381	3545.455	10363.636	0.4665	6818.181	-80	Valencia_02_Combined_2017.wav	2534.2008	Whistle
244	Spectrogram 1	1	2534.667381	2535.974519	3818.182	22409.091	1.3071	18590.909	-69.53	Valencia_02_Combined_2017.wav	2534.6674	Whistle
245	Spectrogram 1	1	2536.654231	2537.979467	2448.98	15379.592	1.3252	12930.612	-76.67	Valencia_02_Combined_2017.wav	2536.6542	Bout
246	Spectrogram 1	1	2549.189473	2549.33374	5636.364	8578.9	0.1443	2942.536	-84.06	Valencia_02_Combined_2017.wav	2549.1895	Whistle
247	Spectrogram 1	1	2550.475978	2550.584571	6409.091	9850.4	0.1086	3441.309	-80.84	Valencia_02_Combined_2017.wav	2550.476	Whistle
248	Spectrogram 1	1	2553.331571	2553.468318	6409.091	7681.818	0.1367	1272.727	-79.43	Valencia_02_Combined_2017.wav	2553.3316	Whistle
249	Spectrogram 1	1	2553.983129	2554.433589	6818.182	10863.636	0.4505	4045.454	-80.21	Valencia_02_Combined_2017.wav	2553.9831	Whistle
250	Spectrogram 1	1	2558.640564	2558.773289	6727.273	14000	0.1327	7272.727	-76.73	Valencia_02_Combined_2017.wav	2558.6406	Whistle
251	Spectrogram 1	1	2561.230709	2561.343324	6590.909	10088.8	0.1126	3497.891	-79.29	Valencia_02_Combined_2017.wav	2561.2307	Whistle
252	Spectrogram 1	1	2563.221581	2564.186853	5000	17227.273	0.9653	12227.273	-74.35	Valencia_02_Combined_2017.wav	2563.2216	Whistle
253	Spectrogram 1	1	2564.75395	2565.83988	3636.364	16363.636	1.0859	12727.272	-73.44	Valencia_02_Combined_2017.wav	2564.7539	Whistle
254	Spectrogram 1	1	2571.595311	2572.057569	4408.163	13727.273	0.4623	9319.11	-86.29	Valencia_02_Combined_2017.wav	2571.5953	Whistle
255	Spectrogram 1	1	2573.481613	2574.060776	7454.545	15181.818	0.5792	7727.273	-73.16	Valencia_02_Combined_2017.wav	2573.4816	Whistle
256	Spectrogram 1	1	2580.773166	2581.25178	7297.959	9453.061	0.4786	2155.102	-83.16	Valencia_02_Combined_2017.wav	2580.7732	Whistle
257	Spectrogram 1	1	2581.424993	2581.626091	6194.8	14909.091	0.2011	8714.291	-83.71	Valencia_02_Combined_2017.wav	2581.425	Whistle
258	Spectrogram 1	1	2586.898886	2587.043677	9727.273	12590.909	0.1448	2863.636	-92.6	Valencia_02_Combined_2017.wav	2586.8989	Whistle
259	Spectrogram 1	1	2601.603188	2601.945055	6115.3	10318.182	0.3419	4202.882	-90.63	Valencia_02_Combined_2017.wav	2601.6032	Whistle
260	Spectrogram 1	1	2603.035008	2603.507742	6115.3	11000	0.4727	4884.7	-86.46	Valencia_02_Combined_2017.wav	2603.035	Whistle
261	Spectrogram 1	1	2622.020189	2622.991127	6409.091	12155	0.9709	5745.909	-85.74	Valencia_02_Combined_2017.wav	2622.0202	Bout
262	Spectrogram 1	1	2630.00141	2630.572529	5956.4	9681.818	0.5711	3725.418	-87.11	Valencia_02_Combined_2017.wav	2630.0014	Whistle
263	Spectrogram 1	1	2630.801781	2631.131582	6136.364	7272.727	0.3298	1136.363	-91.71	Valencia_02_Combined_2017.wav	2630.8018	Whistle
264	Spectrogram 1	1	2647.134972	2648.675391	6045.455	21772.727	1.5404	15727.272	-86.08	Valencia_02_Combined_2017.wav	2647.135	Whistle
265	Spectrogram 1	1	2649.459674	2650.670285	4272.727	22545.455	1.2106	18272.728	-68.74	Valencia_02_Combined_2017.wav	2649.4597	Whistle
266	Spectrogram 1	1	2687.229942	2687.628117	4843.8	11909.091	0.3982	7065.291	-88.57	Valencia_02_Combined_2017.wav	2687.2299	Whistle
267	Spectrogram 1	1	2687.781547	2688.018843	6710.204	11510.204	0.2373	4800	-87.65	Valencia_02_Combined_2017.wav	2687.7815	Whistle
268	Spectrogram 1	1	2690.503278	2690.600348	7272.727	10247.7	0.0971	2974.973	-78.39	Valencia_02_Combined_2017.wav	2690.5033	Whistle
269	Spectrogram 1	1	2690.6647	2691.42284	6367.347	9909.091	0.7581	3541.744	-81.39	Valencia_02_Combined_2017.wav	2690.6647	Whistle
270	Spectrogram 1	1	2693.866184	2694.095435	11272.727	18454.545	0.2293	7181.818	-78.63	Valencia_02_Combined_2017.wav	2693.8662	Whistle
271	Spectrogram 1	1	2698.825266	2699.219418	6590.909	21294.1	0.3942	14703.191	-67.97	Valencia_02_Combined_2017.wav	2698.8253	Whistle
272	Spectrogram 1	1	2700.719639	2701.075835	9954.545	18272.727	0.3562	8318.182	-68.2	Valencia_02_Combined_2017.wav	2700.7196	Whistle
273	Spectrogram 1	1	2701.14823	2701.421723	8545.455	21772.727	0.2735	13227.272	-64.21	Valencia_02_Combined_2017.wav	2701.1482	Whistle
274	Spectrogram 1	1	2702.632335	2703.006716	9545.455	18830.5	0.3744	9285.045	-69.35	Valencia_02_Combined_2017.wav	2702.6323	Whistle
275	Spectrogram 1	1	2703.40053	2703.754463	7307.3	13863.636	0.3539	6556.336	-60.97	Valencia_02_Combined_2017.wav	2703.4005	Whistle
276	Spectrogram 1	1	2703.795104	2703.968049	3409.091	10681.818	0.1729	7272.727	-68.53	Valencia_02_Combined_2017.wav	2703.7951	Whistle
277	Spectrogram 1	1	2711.094968	2711.348352	7136.364	11727.273	0.2534	4590.909	-76.75	Valencia_02_Combined_2017.wav	2711.095	Whistle
278	Spectrogram 1	1	2712.813147	2712.989313	7363.636	13267.6	0.1762	5903.964	-80.6	Valencia_02_Combined_2017.wav	2712.8131	Whistle
279	Spectrogram 1	1	2713.037577	2713.262807	3090.909	11090.909	0.2252	8000	-87.21	Valencia_02_Combined_2017.wav	2713.0376	Whistle
280	Spectrogram 1	1	2826.440882	2826.930064	4636.364	9135.2	0.4892	4498.836	-89.73	Valencia_02_Combined_2017.wav	2826.4409	Whistle
281	Spectrogram 1	1	2830.414582	2830.716687	9294.1	13347.1	0.3021	4053	-78.44	Valencia_02_Combined_2017.wav	2830.4146	Whistle
282	Spectrogram 1	1	2872.542304	2873.119798	2636.364	6592.1	0.5775	3955.736	-79.72	Valencia_02_Combined_2017.wav	2872.5423	Bout
283	Spectrogram 1	1	2876.695723	2877.68875	4227.273	9991.837	0.993	5764.564	-64.5	Valencia_02_Combined_2017.wav	2876.6957	Whistle
284	Spectrogram 1	1	2878.251825	2880.07709	2221.3	10530.612	1.8253	8309.312	-82.8	Valencia_02_Combined_2017.wav	2878.2518	Bout
285	Spectrogram 1	1	2916.287543	2916.585169	7272.727	14909.091	0.2976	7636.364	-78.14	Valencia_02_Combined_2017.wav	2916.2875	Whistle
286	Spectrogram 1	1	2918.559246	2918.913886	3918.367	12681.818	0.3546	8763.451	-82.96	Valencia_02_Combined_2017.wav	2918.5592	Whistle
287	Spectrogram 1	1	2919.046611	2919.311353	7272.727	13959.184	0.2647	6686.457	-83.21	Valencia_02_Combined_2017.wav	2919.0466	Whistle
288	Spectrogram 1	1	2919.440763	2919.730345	6545.455	10272.727	0.2896	3727.272	-79.18	Valencia_02_Combined_2017.wav	2919.4408	Whistle
289	Spectrogram 1	1	2923.020312	2923.334025	6136.364	15272.727	0.3137	9136.363	-82.71	Valencia_02_Combined_2017.wav	2923.0203	Whistle
290	Spectrogram 1	1	2923.42653	2923.663826	7727.273	14636.364	0.2373	6909.091	-78.44	Valencia_02_Combined_2017.wav	2923.4265	Whistle
291	Spectrogram 1	1	2923.83677	2924.130374	7954.545	14136.364	0.2936	6181.819	-76.04	Valencia_02_Combined_2017.wav	2923.8368	Whistle
292	Spectrogram 1	1	2926.551596	2926.925639	4090.909	16318.182	0.374	12227.273	-81.81	Valencia_02_Combined_2017.wav	2926.5516	Whistle
293	Spectrogram 1	1	2926.994013	2927.388165	6409.091	16272.727	0.3942	9863.636	-85.21	Valencia_02_Combined_2017.wav	2926.994	Whistle
294	Spectrogram 1	1	2927.468604	2927.870801	6409.091	17954.545	0.4022	11545.454	-86.42	Valencia_02_Combined_2017.wav	2927.4686	Whistle
295	Spectrogram 1	1	2929.913252	2930.070815	7200	12409.091	0.1576	5209.091	-82.26	Valencia_02_Combined_2017.wav	2929.9133	Whistle
296	Spectrogram 1	1	2930.884664	2931.682983	4525.9	18115.3	0.7983	13589.4	-83.35	Valencia_02_Combined_2017.wav	2930.8847	Whistle
297	Spectrogram 1	1	2934.776514	2935.098271	4772.727	14818.182	0.3218	10045.455	-84.98	Valencia_02_Combined_2017.wav	2934.7765	Whistle
298	Spectrogram 1	1	2935.162622	2935.508511	4500	14545.455	0.3459	10045.455	-80.46	Valencia_02_Combined_2017.wav	2935.1626	Whistle
299	Spectrogram 1	1	2941.098335	2942.40618	3183.673	19818.182	1.3078	16634.509	-82.24	Valencia_02_Combined_2017.wav	2941.0983	Whistle
300	Spectrogram 1	1	2949.850837	2950.257055	3636.364	14590.909	0.4062	10954.545	-83.87	Valencia_02_Combined_2017.wav	2949.8508	Whistle
301	Spectrogram 1	1	2950.332765	2950.627076	5583.673	15181.818	0.2943	9598.145	-80.68	Valencia_02_Combined_2017.wav	2950.3328	Whistle
302	Spectrogram 1	1	2950.714852	2951.08558	5289.796	16181.818	0.3707	10892.022	-78.68	Valencia_02_Combined_2017.wav	2950.7149	Whistle
303	Spectrogram 1	1	2953.820516	2954.230756	1818.182	6545.455	0.4102	4727.273	-83.03	Valencia_02_Combined_2017.wav	2953.8205	Whistle
304	Spectrogram 1	1	2961.039942	2961.285282	8454.545	10227.273	0.2453	1772.728	-76.64	Valencia_02_Combined_2017.wav	2961.0399	Whistle
305	Spectrogram 1	1	2963.557691	2963.71857	2136.364	8409.091	0.1609	6272.727	-75.66	Valencia_02_Combined_2017.wav	2963.5577	Whistle
306	Spectrogram 1	1	2973.6488	2973.982623	5181.818	16000	0.3338	10818.182	-74.57	Valencia_02_Combined_2017.wav	2973.6488	Whistle
307	Spectrogram 1	1	2974.81517	2977.147909	5318.182	11545.455	2.3327	6227.273	-77.34	Valencia_02_Combined_2017.wav	2974.8152	Whistle
308	Spectrogram 1	1	2980.807897	2981.033127	8318.182	13727.273	0.2252	5409.091	-73.45	Valencia_02_Combined_2017.wav	2980.8079	Whistle
309	Spectrogram 1	1	2981.20063	2982.259826	3818.182	22009.3	1.0592	18191.118	-62.5	Valencia_02_Combined_2017.wav	2981.2006	Whistle
310	Spectrogram 1	1	2983.591097	2983.67958	9227.273	11363.636	0.0885	2136.363	-64.07	Valencia_02_Combined_2017.wav	2983.5911	Whistle
311	Spectrogram 1	1	2986.386362	2986.58746	10318.182	14409.091	0.2011	4090.909	-70.05	Valencia_02_Combined_2017.wav	2986.3864	Whistle
312	Spectrogram 1	1	2987.07814	2987.206843	10772.727	12500	0.1287	1727.273	-72.05	Valencia_02_Combined_2017.wav	2987.0781	Whistle
313	Spectrogram 1	1	2988.180563	2988.566267	6272.727	13136.364	0.3857	6863.637	-78.99	Valencia_02_Combined_2017.wav	2988.1806	Whistle
314	Spectrogram 1	1	2988.642684	2988.81965	7590.909	10727.273	0.177	3136.364	-74.88	Valencia_02_Combined_2017.wav	2988.6427	Whistle
315	Spectrogram 1	1	2993.62992	2994.337786	3636.364	18090.909	0.7079	14454.545	-76.78	Valencia_02_Combined_2017.wav	2993.6299	Whistle
316	Spectrogram 1	1	3001.243499	3002.498351	4409.091	20817.3	1.2549	16408.209	-79.77	Valencia_02_Combined_2017.wav	3001.2435	Whistle
317	Spectrogram 1	1	3005.571132	3005.671681	9954.545	15454.545	0.1005	5500	-78.58	Valencia_02_Combined_2017.wav	3005.5711	Whistle
318	Spectrogram 1	1	3006.91849	3007.911916	3636.364	19863.6	0.9934	16227.236	-69.94	Valencia_02_Combined_2017.wav	3006.9185	Whistle
319	Spectrogram 1	1	3008.853055	3009.670561	3636.364	18274.2	0.8175	14637.836	-64.09	Valencia_02_Combined_2017.wav	3008.8531	Whistle
320	Spectrogram 1	1	3010.280853	3010.64149	3651.7	15727.273	0.3606	12075.573	-66.04	Valencia_02_Combined_2017.wav	3010.2809	Whistle
321	Spectrogram 1	1	3011.596035	3011.736804	1909.091	7590.909	0.1408	5681.818	-80.34	Valencia_02_Combined_2017.wav	3011.596	Whistle
322	Spectrogram 1	1	3012.062583	3012.235527	3818.182	5590.909	0.1729	1772.727	-70.61	Valencia_02_Combined_2017.wav	3012.0626	Whistle
323	Spectrogram 1	1	3013.558754	3013.989104	5181.818	14863.636	0.4304	9681.818	-80.35	Valencia_02_Combined_2017.wav	3013.5588	Whistle
324	Spectrogram 1	1	3014.081609	3014.79279	5828.571	15036.735	0.7112	9208.163	-77.95	Valencia_02_Combined_2017.wav	3014.0816	Whistle
325	Spectrogram 1	1	3016.422392	3016.655666	8681.818	9954.545	0.2333	1272.727	-78.11	Valencia_02_Combined_2017.wav	3016.4224	Whistle
326	Spectrogram 1	1	3022.093362	3022.350768	9045.455	11227.273	0.2574	2181.818	-74.13	Valencia_02_Combined_2017.wav	3022.0934	Whistle
327	Spectrogram 1	1	3023.026458	3023.484962	4909.091	7545.8	0.4585	2636.709	-60.58	Valencia_02_Combined_2017.wav	3023.0265	Whistle
328	Spectrogram 1	1	3027.816257	3028.009672	7863.636	11409.091	0.1934	3545.455	-59.17	Valencia_02_Combined_2017.wav	3027.8163	Whistle
329	Spectrogram 1	1	3028.343495	3028.49633	8590.909	13136.364	0.1528	4545.455	-54.77	Valencia_02_Combined_2017.wav	3028.3435	Whistle
330	Spectrogram 1	1	3028.644436	3029.046632	10579.592	13322.449	0.4022	2742.857	-58.25	Valencia_02_Combined_2017.wav	3028.6444	Whistle
331	Spectrogram 1	1	3029.119734	3029.41736	7681.818	12954.545	0.2976	5272.727	-56.64	Valencia_02_Combined_2017.wav	3029.1197	Whistle
332	Spectrogram 1	1	3029.887929	3030.048808	9818.182	15272.727	0.1609	5454.545	-65.46	Valencia_02_Combined_2017.wav	3029.8879	Whistle
333	Spectrogram 1	1	3030.322302	3030.808959	4727.273	16367	0.4867	11639.727	-73.3	Valencia_02_Combined_2017.wav	3030.3223	Whistle
334	Spectrogram 1	1	3030.839157	3032.164394	3636.364	20772.727	1.3252	17136.363	-58.47	Valencia_02_Combined_2017.wav	3030.8392	Bout
335	Spectrogram 1	1	3032.590722	3033.628389	3954.545	22545.455	1.0377	18590.91	-55.97	Valencia_02_Combined_2017.wav	3032.5907	Whistle
336	Spectrogram 1	1	3035.22913	3036.190379	3818.182	22363.636	0.9612	18545.454	-57.94	Valencia_02_Combined_2017.wav	3035.2291	Whistle
337	Spectrogram 1	1	3040.988583	3041.560365	7227.273	12870.3	0.5718	5643.027	-87.91	Valencia_02_Combined_2017.wav	3040.9886	Whistle
338	Spectrogram 1	1	3043.603087	3044.421328	3624.49	20976.2	0.8182	17351.71	-74.15	Valencia_02_Combined_2017.wav	3043.6031	Bout
339	Spectrogram 1	1	3044.483897	3044.932118	4818.182	12195.918	0.4482	7377.736	-69.92	Valencia_02_Combined_2017.wav	3044.4839	Whistle
340	Spectrogram 1	1	3053.304064	3054.176831	4681.818	12045.455	0.8728	7363.637	-62.81	Valencia_02_Combined_2017.wav	3053.3041	Whistle
341	Spectrogram 1	1	3054.506632	3055.073729	4000	21454.545	0.5671	17454.545	-60.63	Valencia_02_Combined_2017.wav	3054.5066	Whistle
342	Spectrogram 1	1	3055.573583	3056.30558	4636.364	21294.1	0.732	16657.736	-54.67	Valencia_02_Combined_2017.wav	3055.5736	Whistle
343	Spectrogram 1	1	3063.36815	3063.545116	5772.727	9272.727	0.177	3500	-77.54	Valencia_02_Combined_2017.wav	3063.3682	Whistle
344	Spectrogram 1	1	3063.822632	3064.168521	8272.727	17500	0.3459	9227.273	-81.47	Valencia_02_Combined_2017.wav	3063.8226	Whistle
345	Spectrogram 1	1	3070.133094	3070.302017	5272.727	9954.545	0.1689	4681.818	-59.73	Valencia_02_Combined_2017.wav	3070.1331	Whistle
346	Spectrogram 1	1	3071.436211	3071.657419	10681.818	12454.545	0.2212	1772.727	-70.27	Valencia_02_Combined_2017.wav	3071.4362	Whistle
347	Spectrogram 1	1	3094.634902	3094.87622	4090.909	7227.273	0.2413	3136.364	-78.81	Valencia_02_Combined_2017.wav	3094.6349	Whistle
348	Spectrogram 1	1	3096.653928	3096.919378	4136.364	17000	0.2654	12863.636	-65.2	Valencia_02_Combined_2017.wav	3096.6539	Whistle
349	Spectrogram 1	1	3097.711705	3098.170208	2454.545	20419.9	0.4585	17965.355	-67.14	Valencia_02_Combined_2017.wav	3097.7117	Whistle
350	Spectrogram 1	1	3098.676976	3098.990689	2363.636	14954.545	0.3137	12590.909	-72.35	Valencia_02_Combined_2017.wav	3098.677	Whistle
351	Spectrogram 1	1	3101.22288	3101.556703	3681.818	5272.727	0.3338	1590.909	-77.68	Valencia_02_Combined_2017.wav	3101.2229	Whistle
352	Spectrogram 1	1	3115.22736	3115.794457	5272.727	16208	0.5671	10935.273	-79.68	Valencia_02_Combined_2017.wav	3115.2274	Whistle
353	Spectrogram 1	1	3115.983489	3116.208719	8863.636	12045.455	0.2252	3181.819	-78.39	Valencia_02_Combined_2017.wav	3115.9835	Whistle
354	Spectrogram 1	1	3117.519774	3118.191548	9409.091	17909.091	0.6718	8500	-87.85	Valencia_02_Combined_2017.wav	3117.5198	Whistle
355	Spectrogram 1	1	3118.320251	3118.843106	3818.182	16909.091	0.5229	13090.909	-89.2	Valencia_02_Combined_2017.wav	3118.3203	Whistle
356	Spectrogram 1	1	3119.744026	3119.912948	8681.818	17956.4	0.1689	9274.582	-82.17	Valencia_02_Combined_2017.wav	3119.744	Whistle
357	Spectrogram 1	1	3120.005454	3120.238728	12000	18136.364	0.2333	6136.364	-80.79	Valencia_02_Combined_2017.wav	3120.0055	Whistle
358	Spectrogram 1	1	3121.067252	3121.191933	7636.364	10909.091	0.1247	3272.727	-84.01	Valencia_02_Combined_2017.wav	3121.0673	Whistle
